gene_id,sequence
XP_060550934.1,JMJD1C
XP_059997955.1,CELA2A
WOV69007.1,ND4L
XP_060623695.1,P2RY14
XP_060547603.1,KCNH4
XP_060490136.1,NPAP1
NP_001233483.1,DONSON
XP_060696922.1,DNAH3
XP_060462787.1,MS4A5
XP_060692017.1,GDAP1L1
XP_060690521.1,HPS3
XP_060678613.1,FAM110B
XP_060696145.1,ERI2
XP_060498215.1,FRMPD2
XP_060539122.1,WDR49
XP_060681705.1,GJD4
A7YWK3.1,KRT73
XP_060697206.1,CFAP77
XP_060544223.1,TMEM238L
XP_060629180.1,TULP1
KAK2505943.1,FAM71A
XP_060684103.1,CERKL
XP_060630525.1,CFHR2
NP_001093137.1,ARMS2
XP_060545670.1,ASIP
5DZY_F,PCDHB8
XP_060641572.1,TMEM132B
XP_060706670.1,NT5DC1
XP_060710807.1,DCBLD1
XP_060630115.1,PSD2
NP_004265.3,MIR211
NP_001356326.1,MIR196B
XP_060610405.1,TTBK1
XP_060542561.1,MARCHF8
WOO78303.1,METTL7B
XP_060697616.1,INPP5E
NP_001278850.1,RMST
XP_060514742.1,SLC6A13
XP_060621314.1,TRPC7
XP_060642966.1,SLC25A37
XP_060695567.1,NAV3
XP_060682022.1,SH3RF3
NP_001101811.1,MIR128-2
XP_060684100.1,PDE11A
XP_060634878.1,FREM3
NP_006556.1,MIR22HG
XP_060611861.1,KBTBD13
XP_060631056.1,ARHGAP28
AWX59867.1,MYMY1
KAK2591439.1,GAS5
XP_060611902.1,MUC6
XP_060477710.1,REG4
XP_060615818.1,GJD2
XP_060549298.1,CEMIP
XP_060621152.1,GRXCR2
XP_060477526.1,EPHA10
XP_060477340.1,CFC1
XP_060694283.1,CMTR2
NP_002183.1,CGB5
XP_060548523.1,PTCRA
XP_060690858.1,NMNAT3
XP_060683187.1,PLA2R1
XP_060709962.1,LRMDA
XP_060694704.1,LDLRAD3
XP_060702083.1,C5orf63
XP_060617018.1,TTBK2
XP_060700405.1,WDR36
XP_034292781.2,KCNU1
NP_631947.1,MASP2
NP_001157692.1,DLEU2
AJB29691.1,MIR134
P0DMR3.1,ATXN8OS
XP_060712652.1,TTI2
XP_060710362.1,UNC5B
XP_060634910.1,MGARP
XP_060547597.1,SRCIN1
WP_251760309.1,NRK
XP_060687769.1,SLC24A3
XP_060697151.1,STKLD1
XP_060611602.1,SLC51B
XP_060487893.1,ZNF674
XP_060467758.1,PIWIL3
XP_060625880.1,MXRA5
XP_060497095.1,KLLN
XP_060694082.1,C19orf12
XP_060686164.1,DENND1B
XP_060696013.1,PEX26
NP_001288356.1,METTL14
XP_060613261.1,NRARP
QEO75366.1,MIR496
XP_060471310.1,PNPLA1
XP_060694441.1,TMEM138
XP_060612678.1,GPR68
XP_060542380.1,KCNE2
NP_001277970.1,IL21
XP_060707416.1,PDGFC
XP_032007776.1,C11orf21
XP_060252325.1,CAPN8
XP_060467722.1,SLURP1
XP_060698335.1,RNLS
QWA18708.1,RNU6-456P
XP_060710311.1,FAM149B1
XP_060698182.1,ARMH3
NP_001028380.1,GCOM1
XP_060696859.1,ALG1
XP_060679018.1,PUS3
XP_060617575.1,MAST4
XP_060624905.1,LRRTM3
XP_060537877.1,GDF6
XP_060680410.1,NDUFAF6
XP_060639638.1,ITPKC
XP_060511441.1,STK32B
XP_060539247.1,RARRES2
O76000.1,OR2B3
XP_060637840.1,ANO10
XP_060539177.1,TLCD5
XP_015888548.3,DCR
XP_060550811.1,CHADL
XP_060640600.1,TMEM17
XP_060540303.1,KLHDC8B
KAK2495470.1,MAP11
XP_060694453.1,ERCC6L2
XP_060684267.1,DNAL1
XP_060710991.1,HCRTR2
XP_060540525.1,CLCNKB
NP_001387206.1,SLC4A11
XP_060664393.1,COA8
XP_060711504.1,RD3
NP_001303970.1,UQCC3
XP_034296309.1,NOBOX
O14609.1,XKRY
A0A178VEK7.1,DAZ2
NP_777285.1,LRRC6
XP_060677036.1,CCDC65
XP_060683733.1,CFAP221
XP_060701295.1,NUAK2
XP_027819797.2,CELA3B
XP_060470570.1,ZFP57
XP_060708892.1,SLC24A5
WOV69033.1,ATP8
BDV49747.1,TRNH
2CZJ_G,TRNP
XP_060473643.1,MESP2
WON66568.1,TRNT
XP_060479351.1,PLA2G5
XP_060712134.1,SDHAF1
XP_060710881.1,PGBD5
B1AL46.3,NUTM2E
XP_060543204.1,ZP1
XP_060704099.1,PIGL
XP_060548898.1,CCDC8
XP_060687155.1,LIAS
XP_060681676.1,FRRS1L
DBA13359.1,IGHV4-34
XP_060541622.1,TRPV3
NP_083154.1,SLC6A19
XP_060626745.1,CFAP44
XP_060687970.1,SHROOM4
XP_060692270.1,ZNF335
XP_060693083.1,SH3TC2
XP_060700237.1,ZNF750
XP_060694886.1,SBF2
XP_060695006.1,FAR1
KAK2509110.1,COX4I2
XP_060679199.1,CCNQ
XP_060628761.1,CATSPER2
XP_060613792.1,NAXE
XP_060683143.1,MMAA
XP_060677670.1,RNASEH1
YP_009590853.1,SPG24
XP_060698690.1,NAT8L
XP_060698097.1,NHLRC2
XP_060701018.1,SLC6A17
XP_060682790.1,ALG11
QMW69651.1,SPG38
XP_060639942.1,ATP5IF1
XP_060640294.1,PHLDB3
XP_060710088.1,TYSND1
XP_014955007.3,SPINT3
XP_060620766.1,WFIKKN2
XP_060476644.1,SERPINA11
KAK2104679.1,SERPINA2
XP_060258542.1,SPINK8
P51864.1,TDGF1P3
Q96KV6.2,BTN2A3P
XP_060538985.1,NPVF
XP_060710522.1,CNPY4
XP_060461318.1,IZUMO1R
KAK2499560.1,IFNL4
XP_060620266.1,PVALEF
XP_060500568.1,CD1C
XP_060545630.1,KCNS1
P22531.2,SPRR2E
XP_060702758.1,BARX2
XP_060494248.1,SLC22A14
XP_060702500.1,FSTL3
XP_060633306.1,NUDT4
Q92617.5,NPIPB3
NP_001274169.1,CA7
XP_060507850.1,KLK13
5TEZ_J,TRAV27
XP_060620692.1,JPT1
WP_317657117.1,THEG
XP_060683514.1,ASB1
XP_060474662.1,DUOX1
XP_060693092.1,NEURL1B
XP_060485714.1,PCSK4
XP_060697200.1,EXD3
7L28_D,SLFN12
NP_001258793.1,KLHDC8A
XP_060685010.1,G2E3
XP_060628193.1,DBNDD2
XP_060147996.1,NXF3
Q53S99.1,C2orf83
XP_060680430.1,ATP10D
XP_060695208.1,PPM1H
XP_060700843.1,USP36
XP_060497091.1,ZP4
XP_060462785.1,MS4A7
XP_060627621.1,CDH26
XP_060635603.1,NEUROG2
XP_060610863.1,GPR135
XP_060502386.1,ARMCX5
NP_001353724.1,CHID1
XP_059535732.1,TRIM48
XP_060702433.1,ABHD8
XP_060690153.1,VEPH1
XP_060618520.1,MOB3B
XP_060619637.1,DENND1C
XP_060695907.1,SCUBE1
XP_038964315.1,LPAL2
XP_060704048.1,RCC1L
NP_001137233.1,DOHH
XP_034293600.1,KLF16
XP_060700185.1,FAM172A
XP_060700821.1,MYCBPAP
XP_060696565.1,USP42
XP_060711316.1,FBXW9
XP_060688094.1,TMEM175
XP_060682642.1,ECRG4
XP_060683148.1,SLC12A8
Q96T75.2,DSCR8
XP_060691764.1,ABHD14B
XP_060546408.1,RITA1
XP_060698446.1,ARHGAP19
XP_060680075.1,DNAJC5B
XP_060688777.1,CFAP91
XP_060684719.1,CCDC32
XP_060696167.1,COX19
Q14390.4,GGTLC2
NP_001374091.1,SLFN11
XP_060537501.1,MTSS2
XP_060543020.1,MOB1B
XP_060611700.1,UBE2Q2
XP_034285432.1,MYL12B
XP_060709637.1,KTI12
XP_060115215.1,CARD16
XP_060545288.1,KLHL29
XP_060707411.1,SMIM19
XP_060679461.1,PCMTD1
XP_060685217.1,TRMT61A
XP_016047870.1,RPL39L
XP_060621821.1,GPR62
XP_021488981.1,NXPE1
XP_060699915.1,FOXN4
XP_060708766.1,LEO1
XP_060644174.1,SPATA33
XP_060549194.1,MSI2
XP_060704609.1,CCDC43
XP_060639128.1,GJD3
XP_060710998.1,SWSAP1
8TO0_K,CCDC105
XP_060685606.1,DNAI3
XP_060707938.1,PRXL2B
XP_060692035.1,BHLHE23
XP_060548705.1,DUSP15
KAK1336208.1,TRIM43
NP_065830.2,TTC32
XP_060681317.1,UBE2QL1
XP_060693247.1,C5orf24
XP_060697258.1,RNF183
XP_060711114.1,RPP25L
XP_060490263.1,SPIN4
XP_060684050.1,UBE2F
XP_060461794.1,UBQLNL
XP_060635673.1,ETFRF1
XP_060642376.1,LRFN5
XP_060544618.1,PIK3R6
XP_060549793.1,FAM98C
XP_060678950.1,DCST1
XP_060547848.1,DUSP18
XP_060464425.1,C2orf15
XP_060709810.1,GDF7
XP_060637868.1,ZCWPW2
XP_060688988.1,IGSF11
XP_060692731.1,CREBRF
XP_060680242.1,SNRNP48
XP_060631464.1,RDH10
XP_060680083.1,MCMDC2
XP_060503856.1,ZXDB
XP_060682679.1,C11orf65
XP_060694041.1,ZFPM1
XP_060507408.1,ZNF296
XP_060615025.1,CALML6
XP_060512301.1,APOBEC3H
XP_060622183.1,CHST13
XP_060011899.1,GIMAP7
XP_060687390.1,KCNG3
XP_060643596.1,MPZL3
XP_060696446.1,WDR90
XP_060545912.1,TMEM61
XP_060543744.1,TIGD1
XP_060509873.1,C4orf46
XP_060695240.1,CCDC107
XP_060488411.1,TEX47
XP_042088575.1,OOSP2
XP_060624938.1,SLC16A9
XP_060611004.1,SPATS1
XP_060699144.1,FAM185A
XP_058294735.1,MS4A6E
XP_060685585.1,EPHX4
XP_060686690.1,WDR27
XP_060682354.1,RNF169
XP_060697043.1,MORN5
XP_060629849.1,COL24A1
XP_060494643.1,COL6A5
XP_060546523.1,MAMDC2
XP_060615932.1,LY6G6F
XP_060689021.1,TIPRL
XP_060703005.1,CCDC153
XP_060695260.1,GAS2L3
XP_060684353.1,FAM98B
XP_060504946.1,C16orf54
XP_060709566.1,TTLL6
XP_060616774.1,DYNAP
NP_063915.2,CXCL17
XP_002689162.3,OR2L13
XP_038421190.1,C3orf56
XP_060690309.1,COX18
XP_060633632.1,LSMEM1
XP_060618340.1,LURAP1L
XP_060544701.1,RAB37
XP_060514483.1,CLEC4D
XP_060505729.1,PRSS53
XP_060619961.1,C17orf67
XP_060685639.1,ANKRD45
XP_060461093.1,C2orf74
XP_060495012.1,RTL4
WP_239635323.1,H1-7
XP_060481162.1,MYBPHL
XP_060690382.1,SAMD7
XP_060630614.1,CAVIN4
XP_060622862.1,TMEM255B
XP_060629501.1,SHISAL2A
P26718.2,RAET1G
O14598.1,VCY1B
XP_060708889.1,TEX9
XP_060707979.1,SVBP
XP_060622528.1,LHFPL4
XP_060544997.1,SLC27A1
XP_060689336.1,KCTD4
XP_060550380.1,SPDYC
XP_060709825.1,INSYN1
XP_060620450.1,SHISA6
KAK1154626.1,C1orf189
XP_060687359.1,SMIM20
XP_060505145.1,GTF2IRD2B
XP_060613250.1,LRRC26
XP_060641791.1,C1QTNF8
XP_042101178.1,LCN9
XP_060643085.1,SNX19
NP_001335293.2,SIGLEC16
XP_014958284.2,MCCD1
XP_060701684.1,SNX30
XP_060627609.1,APOBEC4
XP_060622377.1,TAFA1
XP_060497839.1,C10orf62
KAK2098646.1,IFIT1B
XP_060696024.1,DBX2
B2RXH8.1,HNRNPCL2
Q8N8D9.2,IRF1-AS1
Q495Y8.2,SPDYE2
NP_001002760.1,BPY2B
XP_060622851.1,LRRC18
XP_060512546.1,EID3
XP_060492071.1,TIFAB
O60224.1,SSX4B
XP_060512948.1,ATXN7L3B
XP_060680140.1,ZNF704
XP_060539124.1,INSYN2A
KAK1948192.1,PGA4
XP_060699060.1,MEIG1
XP_060695369.1,STMP1
WP_167985982.1,PRB2
XP_060515219.1,TMEM236
XP_030701987.2,OCM
XP_060489778.1,FAM156B
P59665.1,DEFA1B
Q9NS26.1,SPANXA2
Q9UEU5.1,GAGE2D
XP_060711871.1,CCDC61
P0CI01.2,SPDYE6
NP_001341366.1,GTF2H2C_2
XP_060503850.1,POM121C
XP_060707615.1,OST4
XP_060613809.1,TMEM262
E9PI22.1,PRR23D1
A1L429.1,GAGE12D
XP_060507220.1,ERICH4
P0CW20.1,LIMS4
KAK1327318.1,DDX11L8
Q6ZPB5.2,SDIM1
XP_060622756.1,STRIT1
Q96EF9.1,ZHX1-C8orf76
XP_060709055.1,PIGBOS1
KAK2509225.1,GATD3B
NP_001300979.1,CRYAA2
XP_060627957.1,TCFL5
NP_808760.1,H2AJ
Q9BXR3.2,ERVK-6
NP_001380452.1,H2BU1
KAK1334282.1,ZNF781
XP_060628690.1,MAJIN
WP_275506518.1,H3Y2
KAK2491208.1,DDX12P
P0CB48.1,UBTFL6
XP_038415683.1,H2BE1
XP_060579017.1,DDX50
XP_060694323.1,TDRD12
XP_060252596.1,AADACL3
XP_060682499.1,CLYBL
XP_060494975.1,AADACL2
XP_042094457.1,PNLIPRP3
XP_060611082.1,FBLN7
XP_060615015.1,MMP23B
Q03924.5,ZNF117
XP_060546131.1,PAPPA2
XP_060688913.1,CDADC1
XP_060627780.1,ZSWIM1
XP_055983798.1,SLFN13
XP_060499120.1,RTL3
XP_060682068.1,ZDHHC20
Q86UV6.1,TRIM74
C9J1S8.1,TRIM49D1
XP_058288283.1,COL25A1-DT
XP_034290453.1,ZGLP1
XP_060696720.1,ERN2
XP_060546228.1,RIMKLB
XP_060683728.1,MAP3K19
XP_060677516.1,NTPCR
XP_060657220.1,KIF12
XP_034281741.1,PLK5
XP_060683896.1,MYO3B
A6NM43.1,CCT8L1P
XP_060543759.1,NLRP6
XP_060483220.1,PRPS1L1
XP_060548895.1,ACSM4
XP_060639389.1,IQCA1L
NP_001373806.1,CBWD6
XP_060594339.1,KIF28P
XP_060684627.1,SPTBN5
XP_060549848.1,DMRTC2
XP_060616954.1,CD300LF
XP_060683835.1,C1QL2
XP_060682285.1,AQP11
XP_060544958.1,CSAD
XP_060619116.1,KCND1
Q15940.2,ZNF726P1
XP_060546391.1,RASAL1
XP_060507974.1,ZFP30
XP_060700122.1,PLA2G3
XP_060685706.1,TRMT13
XP_060687658.1,DZANK1
Q9NV72.3,ZNF701
XP_060642801.1,NT5M
NP_071398.5,PRDM15
XP_060711668.1,GALNT14
XP_032024814.1,ZNF611
XP_060508056.1,ZNF527
XP_060510252.1,ZNF514
XP_060145497.1,ZNF30
XP_032025660.1,ZNF700
XP_034282885.2,MEX3A
XP_060614956.1,ACAP3
XP_060513368.1,GTSF1
XP_060477975.1,A3GALT2
XP_042098270.1,ZFP92
NP_001121925.2,ITLN2
XP_060508511.1,ZNF582
XP_060708217.1,PHF13
XP_060681369.1,CMC1
XP_060689692.1,ADAL
Q8N7Q3.2,ZNF676
UYV64443.1,ZNF431
XP_060254499.1,ZNF585A
XP_060483370.1,ZNF584
XP_015873772.3,GDPD4
XP_060702761.1,RNF214
XP_060635903.1,RNF227
XP_058280986.1,ZNF841
XP_060494312.1,ZNF619
XP_060492362.1,ZNF454
Q8NEM1.2,ZNF680
KAK1342699.1,ZNF850
WP_318158164.1,ARSH
XP_060622916.1,GALNT18
Q6P5C7.1,ZNF728
XP_032027220.1,ZNF749
XP_060642726.1,PTX4
XP_060629919.1,FRRS1
Q6ZTB9.1,ZNF833P
KAK1341073.1,ZNF724
XP_060472422.1,RFPL4B
XP_060503689.1,CPSF4L
XP_060492480.1,ZFP62
P0CG00.1,ZSCAN5DP
NP_079746.1,MPTX1
XP_060550001.1,OVOL3
XP_008964580.2,ZNF878
P0CB33.1,ZNF735
Q6ZMV8.1,ZNF730
KAK1342615.1,ZNF717
XP_060223872.1,RASA4B
XP_060252674.1,ZBED6
XP_060256709.1,ZNF891
XP_060097035.1,TIMM23B
XP_060686796.1,SCFD2
XP_060630550.1,ATP6V1G3
XP_060640760.1,SGSM1
XP_060643246.1,NT5C1B
NP_001383010.1,PMS2P11
XP_060483087.1,MIXL1
XP_060639156.1,IZUMO3
XP_060709795.1,CELF6
XP_060677802.1,NOL10
XP_060698427.1,TRUB1
KAK2497196.1,NSUN5P2
Q60990.3,RBMY1B
XP_060473182.1,KHDC1L
XP_060683035.1,ARL5A
Q53S08.1,RAB6D
XP_060636766.1,ARL5C
XP_058283181.1,DNM1P34
XP_060677218.1,OPN5
XP_060677231.1,PFN4
XP_060507459.1,PPM1N
XP_060684898.1,FMN1
XP_060543592.1,CAPZA3
XP_060543227.1,NKX2-8
XP_060613118.1,BARHL1
XP_060703787.1,HSF5
XP_027818506.1,ARGFX
XP_060642887.1,MMD2
XP_060708283.1,CAPN9
XP_060687017.1,DCHS2
KAK2116786.1,PCDHGA3
XP_060490115.1,PCDHB2
KAK1340796.1,TPT1P8
XP_060546594.1,MCTP1
XP_060686792.1,EFCAB2
XP_060550074.1,UMODL1
XP_060475658.1,PLA2G4E
XP_060712110.1,CAPN12
XP_060542780.1,MICU3
XP_060480589.1,PLA2G2C
DBA13415.1,IGHD
DBA13382.1,IGHV6-1
DBA13346.1,IGHV4-59
DBA13379.1,IGHV4-4
DBA13344.1,IGHV3-64
DBA13357.1,IGHV3-38
DBA13368.1,IGHV3-20
7KQI_B,IGHV3-9
5C6W_J,IGHV1-69-2
DBA13369.1,IGHV1-18
DBA12142.1,IGLV6-57
WNY15482.1,IGLV2-23
WLQ26163.1,IGLV1-44
P01611.2,IGKV1D-12
A0A087WW87.2,IGKV2-40
DBA13378.1,IGHV7-4-1
DBA13341.1,IGHV2-70D
XP_060699652.1,GLT1D1
XP_060539004.1,TBC1D12
XP_060688263.1,ARHGAP36
Q86UD7.3,TBC1D26
B9A6J9.1,TBC1D3L
XP_060704593.1,RAPGEFL1
XP_060632767.1,DENND5B
XP_060550473.1,IQSEC3
Q02325.1,PLGLB1
XP_060514500.1,C1RL
A6NIE9.3,PRSS29P
XP_060695034.1,IMMP1L
XP_060489992.1,PRSS38
XP_060702194.1,TMPRSS9
KAK2091031.1,PRSS46P
XP_060700108.1,OGFOD2
KAK2499853.1,CYP4X1
XP_060644560.1,CDC14C
XP_060515370.1,TUBAL3
XP_034297879.1,CAMK2N2
KAK2117104.1,SPDYE3
D3ZZW6.1,H1-9P
NP_001026632.1,MAP1LC3B2
XP_060548463.1,PFN3
Q96PT3.1,DUX5
XP_042087295.1,DUXB
NP_001356798.1,KCNE1B
XP_060471801.1,BEND6
XP_060627598.1,RAD21L1
XP_060636923.1,EPOP
XP_060628524.1,PHLDA3
XP_060690326.1,NRROS
NP_001152869.1,FCRL1
XP_060469471.1,PSMA8
NP_001012356.1,NPPA-AS1
WP_191086370.1,ANO7
XP_060699295.1,HELT
P47893.3,OR3A2
XP_060550635.1,GRIN3B
XP_060623656.1,GPR149
O60397.1,COX7A2P2
P0CJ71.1,MTRNR2L4
P0CJ77.1,MTRNR2L10
XP_060513195.1,INHBC
XP_060496923.1,UTS2B
XP_060540133.1,TAFA5
XP_060640578.1,GPR4
XP_059737121.1,OR2C1
Q8WZA6.2,OR1E3
XP_060470519.1,TAAR5
XP_060684937.1,GPR176
Q9Y585.1,OR1A2
Q8NH16.1,OR2L2
Q60882.2,OR8B8
P58182.2,OR12D2
Q96RD0.3,OR8B2
XP_002690773.2,OR4E1
O76002.1,OR2J2
XP_060468151.1,HCAR1
XP_060483538.1,TAS2R4
Q9NQN1.2,OR2S2
Q8NGV6.2,OR5H6
Q8NH07.1,OR11H2
P0C617.2,OR5AL1
Q8NGC5.2,OR6J1
Q8NH41.3,OR4K15
Q8NH57.2,OR52P1P
Q8NH83.4,OR4A5
Q8NHA4.1,OR2AE1
P0C7T2.1,OR2T7
XP_060676888.1,GPR63
XP_060688174.1,GPR174
XP_060239199.1,MRGPRE
Q8NGJ5.1,OR51L1
Q8NGF9.1,OR4X2
Q8WZ94.1,OR5P3
KAK2501171.1,OR56A4
Q8NGE5.1,OR10A7
Q8NGA0.2,OR7G1
Q8NG77.1,OR2T12
Q8NH01.1,OR2T11
Q8NGX9.1,OR6P1
XP_002687051.2,OR9A4
Q8NGS8.1,OR13C5
Q8NGR8.1,OR1L8
Q9H207.1,OR10A5
KAK2499326.1,OR56B4
Q8NH72.1,OR4C6
Q8NGG4.1,OR8H1
Q8NGP6.1,OR5M8
Q8NGN4.1,OR10G9
Q8NGQ5.1,OR9Q1
Q8NGF7.1,OR5B17
Q8NGI4.1,OR4D11
XP_002689166.2,OR2T6
XP_003587019.3,OR51F1
P59538.2,TAS2R31
P59544.2,TAS2R50
Q8NH18.1,OR5J2
Q9GZM6.1,OR8D2
KAK2103882.1,OR4K3
Q8NGT0.1,OR13C9
A6NM03.1,OR2AG2
Q8NGE1.1,OR6C4
A6NH00.1,OR2T8
Q8NGT7.1,OR2A12
XP_060700780.1,GPR142
Q96R54.2,OR14A2
A6NMU1.1,OR52A4P
Q9H343.1,OR51I1
Q8NGI1.1,OR56B2P
Q8NH55.2,OR52E5
Q8NGN8.1,OR4A4P
Q8N146.1,OR8H3
Q8NGP8.1,OR5M1
Q8NGI8.1,OR5AN1
Q8NGM8.1,OR6M1
A6NL08.1,OR6C75
P0C623.3,OR4Q2
XP_003586588.2,OR5AU1
Q8NG95.1,OR7G3
Q8NGX8.1,OR6Y1
Q8NG84.2,OR2AK2
Q8NH08.2,OR10AC1
Q8NGR2.2,OR1L6
WNO44256.1,OR51H1
Q6IEZ7.1,OR2T5
XP_059730519.1,OR4C45
A6NJZ3.1,OR6C65
Q8NGE7.2,OR9K2
Q8NGZ3.1,OR13G1
Q96KK4.3,OR10C1
P0C7N8.1,OR9G9
XP_060680157.1,KCNV1
KAK2508462.1,GVINP1
XP_060502610.1,BPIFB6
KAK1344400.1,DEFB107A
XP_060543277.1,CLBA1
XP_060711003.1,MLIP
XP_034269430.2,CRYBG2
XP_060514347.1,CLEC4F
XP_060497102.1,SCART1
XP_060500459.1,FCRLB
XP_060610164.1,LEFTY1
A8MZ36.1,EVPLL
XP_060639295.1,PTGES3L
XP_059766473.1,HSFX3
Q8N7R0.1,NANOGP1
NP_001182055.1,FOXL3-OT1
XP_060479893.1,CST11
XP_060687589.1,TMEM181
XP_034285086.1,STMND1
XP_042090389.1,LRCOL1
XP_060712547.1,ANKRD39
XP_060691956.1,NEURL2
XP_031996036.1,ATP5MGL
XP_060689385.1,DHRS12
O43423.1,ANP32C
XP_060610107.1,TOGARAM2
XP_060546401.1,CFAP73
XP_060684005.1,FTCDNL1
XP_060513019.1,IL26
XP_060470622.1,SLC17A1
XP_034286532.2,SLC4A5
XP_060704025.1,SPNS2
XP_060684401.1,SLC35F4
XP_060543339.1,KCNK10
WOY75966.1,MAEL
XP_060498974.1,LIPJ
XP_060462729.1,GLYATL2
XP_027832242.1,DEFB119
XP_060640285.1,CCNP
XP_060547542.1,KCNA7
XP_060639447.1,CRYGN
Q8N7N1.2,FAM86B1
A6NEL3.1,FAM86C2P
NP_001316829.1,USP17L8
A6NCW0.1,USP17L3
KAK1336452.1,USP17L13
D6R901.1,USP17L21
P0DP74.1,DEFB130A
XP_060681403.1,POLR1F
NP_001107080.1,MRPS36
UKM63457.1,RNA5-8SN5
XP_060507572.1,INAFM1
XP_060636367.1,SHISA7
XP_060712582.1,ASPDH
XP_060636001.1,PPP1R3E
XP_060493575.1,TCEAL6
XP_060623526.1,LRRIQ4
XP_060635974.1,FITM1
O60403.1,OR10H2
Q8NGA6.1,OR10H5
XP_060496010.1,SLC9C1
XP_060615016.1,SLC35E2B
XP_060700399.1,SCPEP1
XP_060696950.1,SDR42E2
XP_060638373.1,OTUD1
A6NNM3.3,RIMBP3B
7RTR_E,TRBV7-9
XP_060544871.1,COQ10A
XP_060702074.1,R3HDM4
XP_060475085.1,RNASE12
XP_060494420.1,NCBP2L
NP_001371115.1,ELFN1
XP_060629925.1,PLPPR5
NP_005434.4,UGT2B4
XP_055967379.1,UGT2A2
XP_060461533.1,B3GNT6
XP_060484367.1,LCN8
XP_060622457.1,HTD2
P0DN26.1,PPIAL4F
XP_060521800.1,FUT6
XP_060694450.1,PGGHG
XP_060613477.1,QSOX2
XP_060479744.1,GJA9
XP_060687571.1,ZDHHC14
XP_060628139.1,ANKRD13D
XP_060639672.1,KCNK6
XP_060474191.1,LCTL
XP_060637513.1,SUN3
Q96QH8.1,SPACA5B
XP_060682237.1,CHST7
XP_060472445.1,CALHM5
XP_060702747.1,SPATA6L
XP_060694650.1,SLC5A12
Q8N8J0.1,PI4KAP1
XP_060635756.1,MOGAT3
Q9BQD1.1,PMCHL2
XP_060684999.1,NOXRED1
NP_001311231.1,WEE2-AS1
NP_001412248.1,MIR8071-1
XP_060638325.1,ST8SIA6
XP_060685566.1,SLC5A9
XP_060491273.1,SLCO6A1
XP_034970731.2,SULT1C4
XP_060478200.1,GPR89A
XP_060613141.1,PLPP7
XP_060487322.1,MPC1L
XP_054536925.1,ALG1L
XP_060696915.1,TMC5
XP_060643349.1,GPAT2
XP_034290863.2,NALF2
XP_060628884.1,SLC45A3
XP_060691202.1,GXYLT2
NP_776257.1,VN1R5
XP_060686912.1,CHAC2
BEU05266.1,TDH
NP_001152843.3,HYDIN2
XP_060500502.1,TSTD1
DBA36318.1,TRDV2
DBA36403.1,TRAV18
KAK1328329.1,IGLV11-55
DBA12179.1,IGLV5-52
A0A075B6H9.1,IGLV4-69
DBA12163.1,IGLV3-16
KAK1328315.1,IGLV2-18
A0A0C4DH25.1,IGKV3D-20
A0A0A0MRZ7.1,IGKV2D-26
A0A0B4J2D9.1,IGKV1D-13
A0A075B6P5.1,IGKV2-28
A0A0C4DH73.1,IGKV1-12
XP_060619620.1,PODNL1
XP_060682624.1,CREG2
XP_060550245.1,LINGO4
Q6XE38.1,SCGB1D4
XP_060475369.1,CBLN3
XP_016041086.1,DEFB131B
XP_059730694.1,NXPE4
XP_060493935.1,PWWP3B
XP_060686227.1,FAM151A
XP_060700429.1,C17orf58
3Q2C_A,LILRA3
A0A0C4DH62.1,IGHJ1
P0C854.1,CECR9
XP_034277443.2,VWA7
Q86Y27.1,BAGE5
XP_034293636.1,IZUMO4
XP_027832240.1,SIRPD
XP_060709131.1,C15orf61
XP_060639047.1,SPACA4
XP_055209097.1,ZNF22-AS1
XP_060470595.1,DEFB123
XP_060690546.1,IGSF10
XP_060630512.1,BRINP3
XP_060471018.1,SFTA2
Q8N7Q2.2,CELF2-AS1
Q8NG35.1,DEFB105B
Q7Z2R9.1,SSBP3-AS1
XP_060511027.1,ERVMER34-1
Q96RM1.1,SPRR2F
Q9BYP9.1,KRTAP9-9
XP_060610395.1,BTBD6
XP_060641124.1,C2CD4C
XP_060683690.1,FBXO41
Q3LI61.1,KRTAP20-2
NP_001103063.1,KRTAP10-2
XP_060463733.1,BLID
KAK2506352.1,KRTAP4-8
Q3LHN0.1,KRTAP25-1
A8MVA2.1,KRTAP9-6
Q9NNX9.1,VCX3A
XP_060616908.1,TEX15
XP_060538925.1,AMMECR1L
XP_060644274.1,C16orf78
KAK2509462.1,FAM71B
XP_059745484.1,FAM205A
XP_060689697.1,C3orf38
Q6ZQV5.3,ZNF788P
XP_060699547.1,SRRD
NP_001347911.1,ZFAS1
Q9ULZ0.2,TP53TG3C
XP_060505336.1,SAP25
XP_060634368.1,BCAP29
Q8IX95.1,CTAGE3P
XP_060546026.1,DIPK1A
KAK2102246.1,CTAGE4
XP_060642625.1,LHFPL6
XP_060694537.1,KIAA1549L
XP_060691063.1,C3orf18
XP_060541172.1,TMEM74B
Q8NHK3.2,KIR2DL5A
XP_060636560.1,KREMEN2
XP_011957319.2,MS4A8
XP_034264944.2,FAXC
XP_060499154.1,SLAMF9
XP_060698180.1,LMBRD2
XP_060688813.1,CYYR1
XP_060481237.1,C1orf162
XP_060505738.1,TMEM270
NP_445918.1,LINC00052
B6SEH8.1,ERVV-1
XP_060627532.1,C1orf210
NP_001352581.1,SLC2A7
NP_001103610.1,TMEM64
XP_060624925.1,TMEM26
